BatteryBlockName
Card Instructions
Learn yes
Detection with training
Learn no
Learn no and yes
Identification with training
One Card Learning with training
One back with training
Detection
Identification
One Card Learning
One back
ISLT Adult - Immediate
ISLT Adult - Remember
ISLT Adult - Stop
ISLT Adult - Delayed
ISLT Adult - Recognition
ISLT Adult - Delayed and Recognition
GMLT - Learn - Standard
GMLT - Demo - Standard
GMLT - Real - Standard
GMLT - Real (CT Default) - Standard
GMLT - Remember - Standard
GMLT - Delayed - Standard
GMLT - Delayed (CT Default) - Standard
GMLT - Reverse - Standard
GMLT - Reverse (CT Default) - Standard
GMLT - Delayed and Reverse - Standard
GMLT - Delayed and Reverse (CT Default) - Standard
GMLT - Learn - Modified
GMLT - Demo - Modified
GMLT - Real (8x8) - Modified
"GMLT - Real (8x8, CT Default) - Modified"
GMLT - Real (10x10) - Modified
"GMLT - Real (10x10, CT Default) - Modified"
GMLT - Remember - Modified
GMLT - Delayed (8x8) - Modified
"GMLT - Delayed (8x8, CT Default) - Modified"
GMLT - Reverse (8x8) - Modified
"GMLT - Reverse (8x8, CT Default) - Modified"
GMLT - Delayed and Reverse (8x8) - Modified
"GMLT - Delayed and Reverse (8x8, CT Default) - Modified"
GMLT - Delayed (10x10) - Modified
"GMLT - Delayed (10x10, CT Default) - Modified"
GMLT - Reverse (10x10) - Modified
"GMLT - Reverse (10x10, CT Default) - Modified"
GMLT - Delayed and Reverse (10x10) - Modified
"GMLT - Delayed and Reverse (10x10, CT Default) - Modified"
PRS OCL - Learn Demo Real (80 trials) - Adult
PRS OCL - Demo Real (80 trials) - Adult
PRS OCL - Learn Demo Real (50 trials) - Adult
PRS OCL - Demo Real (50 trials) - Adult
PRS OCL - Learn Demo Real (48 trials) - Pediatric
PRS OCL - Demo Real (48 trials) - Pediatric
Detection - Learn Demo Real - Adult
Detection - Learn Demo Real (seamless) - Adult
"Detection - Learn Demo Real (seamless, CT Default) - Adult"
Detection - Demo Real - Adult
Detection - Demo Real (CT Default) - Adult
Detection - Demo Real (Extended Demo) - Adult
Detection - Learn Demo Real - Pediatric
Detection - Learn Demo Real (seamless) - Pediatric
"Detection - Learn Demo Real (seamless, CT Default) - Pediatric"
Detection - Demo Real (seamless) - Pediatric
"Detection - Demo Real (seamless, CT Default) - Pediatric"
"Detection - Demo Real (seamless, Extended Demo) - Pediatric"
Detection - Timing Testing (random onset)
Detection - Timing Testing (fixed onset)
Detection - Learn Demo Real (controls external) - Adult
"Detection - Learn Demo Real (seamless, controls external) - Adult"
"Detection - Learn Demo Real (seamless, CT Default, controls external) - Adult"
Detection - Learn Demo Real (controls external) - Pediatric
"Detection - Learn Demo Real (seamless, controls external) - Pediatric"
"Detection - Learn Demo Real (seamless, CT Default, controls external) - Pediatric"
Detection - Learn Demo Real (controls both) - Adult
"Detection - Learn Demo Real (seamless, controls both) - Adult"
"Detection - Learn Demo Real (seamless, CT Default, controls both) - Adult"
Detection - Learn Demo Real (controls both) - Pediatric
"Detection - Learn Demo Real (seamless, controls both) - Pediatric"
"Detection - Learn Demo Real (seamless, CT Default, controls both) - Pediatric"
General - Card Instructions
General - Repeat Instructions
General - Finished Instructions
Identification - Learn Demo Real - Adult
Identification - Learn Demo Real (seamless) - Adult
"Identification - Learn Demo Real (seamless, CT Default) - Adult"
Identification - Demo Real - Adult
Identification - Demo Real (CT Default) - Adult
Identification - Demo Real (Extended Demo) - Adult
Identification - Learn Demo Real - Pediatric
Identification - Learn Demo Real (seamless) - Pediatric
"Identification - Learn Demo Real (seamless, CT Default) - Pediatric"
Identification - Demo Real (seamless) - Pediatric
"Identification - Demo Real (seamless, CT Default) - Pediatric"
"Identification - Demo Real (seamless, Extended Demo) - Pediatric"
Identification - Learn Demo Real (controls external) - Adult
"Identification - Learn Demo Real (seamless, controls external) - Adult"
"Identification - Learn Demo Real (seamless, CT Default, controls external) - Adult"
Identification - Learn Demo Real (controls external) - Pediatric
"Identification - Learn Demo Real (seamless, controls external) - Pediatric"
"Identification - Learn Demo Real (seamless, CT Default, controls external) - Pediatric"
Identification - Learn Demo Real (controls both) - Adult
"Identification - Learn Demo Real (seamless, controls both) - Adult"
"Identification - Learn Demo Real (seamless, CT Default, controls both) - Adult"
Identification - Learn Demo Real (controls both) - Pediatric
"Identification - Learn Demo Real (seamless, controls both) - Pediatric"
"Identification - Learn Demo Real (seamless, CT Default, controls both) - Pediatric"
Learn Keys - Yes Instructions
Learn Keys - Yes (controls keyboard)
Learn Keys - Yes (controls external)
Learn Keys - Yes (controls both)
Learn Keys - No Instructions
Learn Keys - No (controls keyboard)
Learn Keys - No (controls keyboard)
Learn Keys - No (controls both)
Learn Keys - Yes and No Instructions
Learn Keys - Yes and No (controls keyboard)
Learn Keys - Yes and No (controls external)
Learn Keys - Yes and No (controls both)
OCL - Learn Demo Real (80 trials) - Adult
OCL - Demo Real (80 trials) - Adult
OCL - Learn Demo Real (50 trials) - Adult
OCL - Demo Real (50 trials) - Adult
OCL - Learn Demo Real (48 trials) - Pediatric
OCL - Demo Real (48 trials) - Pediatric
"OCL - Learn Demo Real (80 trials, controls external) - Adult"
"OCL - Learn Demo Real (50 trials, controls external) - Adult"
"OCL - Learn Demo Real (48 trials, controls external) - Pediatric"
"OCL - Learn Demo Real (80 trials, controls both) - Adult"
"OCL - Learn Demo Real (50 trials, controls both) - Adult"
"OCL - Learn Demo Real (48 trials, controls both) - Pediatric"
"OCL - Learn Demo Real (80 trials, CT Default) - Adult"
"OCL - Demo Real (80 trials, CT Default) - Adult"
"OCL - Learn Demo Real (50 trials, CT Default) - Adult"
"OCL - Demo Real (50 trials, CT Default) - Adult"
"OCL - Learn Demo Real (48 trials, CT Default) - Pediatric"
"OCL - Demo Real (48 trials, CT Default) - Pediatric"
"OCL - Learn Demo Real (80 trials, CT Default, controls external) - Adult"
"OCL - Learn Demo Real (50 trials, CT Default, controls external) - Adult"
"OCL - Learn Demo Real (48 trials, CT Default, controls external) - Pediatric"
"OCL - Learn Demo Real (80 trials, CT Default, controls both) - Adult"
"OCL - Learn Demo Real (50 trials, CT Default, controls both) - Adult"
"OCL - Learn Demo Real (48 trials, CT Default, controls both) - Pediatric"
One Back - Learn Demo Real - Adult
One Back - Learn Demo Real (seamless) - Adult
"One Back - Learn Demo Real (seamless, CT Default) - Adult"
One Back - Demo Real - Adult
One Back - Demo Real (CT Default) - Adult
One Back - Demo Real (Extended Demo) - Adult
One Back - Learn Demo Real - Pediatric
One Back - Learn Demo Real (seamless) - Pediatric
"One Back - Learn Demo Real (seamless, CT Default) - Pediatric"
One Back - Demo Real (seamless) - Pediatric
"One Back - Demo Real (seamless, CT Default) - Pediatric"
"One Back - Demo Real (seamless, Extended Demo) - Pediatric"
One Back - Learn Demo Real (controls external) - Adult
"One Back - Learn Demo Real (seamless, controls external) - Adult"
"One Back - Learn Demo Real (seamless, CT Default, controls external) - Adult"
"One Back - Learn Demo Real (controls external, controls external) - Pediatric"
"One Back - Learn Demo Real (seamless, controls external) - Pediatric"
"One Back - Learn Demo Real (seamless, CT Default, controls external) - Pediatric"
One Back - Learn Demo Real (controls both) - Adult
"One Back - Learn Demo Real (seamless, controls both) - Adult"
"One Back - Learn Demo Real (seamless, CT Default, controls both) - Adult"
"One Back - Learn Demo Real (controls both, controls both) - Pediatric"
"One Back - Learn Demo Real (seamless, controls both) - Pediatric"
"One Back - Learn Demo Real (seamless, CT Default, controls both) - Pediatric"
Chase - Demo Real - Standard
Chase - Demo Real - Modified
Chase - Demo Real (10x10) - Modified
