Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Left Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Metadata Display Sequence,Version Name,Group Name," ""Group Branching Equation"""," ""Group Type"""," ""Section Title"""," ""Custom Info"""," ""Show Validator"""," ""Calc Field Ecuation""",Warning message when empty,Screening expression," ""Measurement Unit"""," ""Response Set Label"""," ""Medical Dictionary"""," ""Rows Columns""",Position Row," ""Position Col"""," ""Max allowed rows"""," ""Enabled flag"""," ""Randomization"""," ""Enable Survey"""," ""Available on Mobile"""," ""Global Response Set"""," ""Field Width"""," ""Enroll Custom CRF"""," ""Descriptive Text Image"""," ""Default Value"""," ""Custom Info 2"""," ""Empty Group Flag"""," ""Stratification Variable"""," ""Revision Notes"""," ""Revision Date"""
battery_comments,Cogstate Battery Comments,,notes,"Please inform us of any factors that our scientists should take into account while analyzing this data.<div>- Environmental Distractions&#xa0;</div><div>- Reasons for Delay</div><div>- Refusal to complete tests</div><div>- Technical difficulties with hardware or software</div><div><br></div><div><b><u><font color=""#ff0000"">Do NOT include AE/SAE detail or if the Subject did well.</font></u></b></div>",,,,,,N,[comments_yes_no]=1,Y,N,,,,,0,,,,,Comments,"{""fieldHide"":""N""}",Y,,"If you indicated that there was an impact on the quality of the data, please let us know why.",,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
,Cogstate Battery Data Confirmation,,,,,,,,,,,,N,,,,,1,,"""Protocol Number"" Data Confirmation",,Non Repeating,Data Receipt,,N,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,Y,N,,
TestId,Cogstate Battery Data Confirmation,,text,Test ID,,,,,,N,,N,N,,,,,0,,,,,Data Receipt,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
dateandtime_receipt,Cogstate Battery Data Confirmation,,calc,Test Date and Time,,,,,,N,,N,N,,,,,0,,,,,Data Receipt,"{""fieldHide"":""N""}",Y,[Visit_Date_Time],,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
gender_receipt,Cogstate Battery Data Confirmation,,calc,Subject's Gender,,,,,,N,,N,N,,,,,0,,,,,Data Receipt,"{""fieldHide"":""N""}",Y,[gender],,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
dob_receipt,Cogstate Battery Data Confirmation,,calc,Subject's DOB,,,,,,N,,N,N,,,,,0,,,,,Data Receipt,"{""fieldHide"":""N""}",Y,[dob],,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
completion_receipt,Cogstate Battery Data Confirmation,,calc,Has data been received for this subject?,,,,,,N,,N,N,,,,,0,,,,,Data Receipt,"{""fieldHide"":""N""}",Y,"if ([DetectionTestDuration]>0,  ""Yes"", ""No"")",,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
DetectionPrimaryOutcome,Cogstate Battery CRF - CBB,,calc,Detection Primary Outcome,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,[DetectionReactionTime],,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Reaction Time,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionRawReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Reaction Time<br>,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),RT Variability,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionRawRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw RT Variability,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Accuracy,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionRawAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Accuracy,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalTrials,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Trials,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalResponses,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Responses,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalCorrectExclPant,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct Excl Pant,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalCorrect,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Errors,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionRuleBreakErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Rule Break Errors,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalAnticipatory,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Anticipatory,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalPost,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Post,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTotalMaxOut,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Max Out,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTestDuration,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Duration,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTestCompletion,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Completion Pass,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTestPerformance,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Performance Pass,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionTestIntegrity,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Integrity Pass,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionStandardScoreZ,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score Z,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionStandardScoreT,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score T,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
DetectionChangeScore,Cogstate Battery CRF - CBB,,Number Box (Decimal),Change Score,,,,,,N,,N,N,,,,,0,,,,,Detection,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationPrimaryOutcome,Cogstate Battery CRF - CBB,,calc,Identification Primary Outcome,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,[IdentificationReactionTime],,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Reaction Time,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationRawReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Reaction Time,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),RT Variability,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationRawRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw RT Variability,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Accuracy,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationRawAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Accuracy,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalTrials,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Trials,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalResponses,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Responses,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalCorrectExclPant,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct Excl Pant,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalCorrect,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Errors,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationLegalErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Legal Errors,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationRuleBreakErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Rule Break Errors,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalAnticipatory,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Anticipatory,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalPost,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Post,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTotalMaxOut,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Max Out,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTestDuration,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Duration,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTestCompletion,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Completion Pass,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationTestPerformance,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Performance Pass,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationStandardScoreZ,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score Z,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationStandardScoreT,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score T,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
IdentificationChangeScore,Cogstate Battery CRF - CBB,,Number Box (Decimal),Change Score,,,,,,N,,N,N,,,,,0,,,,,Identification,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningPrimaryOutcome,Cogstate Battery CRF - CBB,,calc,One Card Learning Primary Outcome,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,[OneCardLearningAccuracy],,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Reaction Time,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningRawReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Reaction Time,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),RT Variability,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningRawRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw RT Variability,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Accuracy,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningRawAccuracy,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Accuracy,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalTrials,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Trials,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalResponses,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Responses,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalCorrectExclPant,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct Excl Pant,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalCorrect,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Correct,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Errors,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningLegalErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Legal Errors,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningRuleBreakErrors,Cogstate Battery CRF - CBB,,Number Box (Decimal),Rule Break Errors,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalAnticipatory,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Anticipatory,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTotalPost,Cogstate Battery CRF - CBB,,Number Box (Decimal),Total Post,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTestDuration,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Duration,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTestCompletion,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Completion Pass,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningTestPerformance,Cogstate Battery CRF - CBB,,Number Box (Decimal),Test Performance Pass,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningStandardScoreZ,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score Z,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningStandardScoreT,Cogstate Battery CRF - CBB,,Number Box (Decimal),Standard Score T,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneCardLearningChangeScore,Cogstate Battery CRF - CBB,,Number Box (Decimal),Change Score,,,,,,N,,N,N,,,,,0,,,,,One Card Learning,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneBackPrimaryOutcome,Cogstate Battery CRF - CBB,,calc,One Back Primary Outcome,,,,,,N,,N,N,,,,,0,,,,,One Back,"{""fieldHide"":""N""}",Y,[OneBackAccuracy],,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneBackReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Reaction Time,,,,,,N,,N,N,,,,,0,,,,,One Back,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneBackRawReactionTime,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw Reaction Time,,,,,,N,,N,N,,,,,0,,,,,One Back,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneBackRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),RT Variability,,,,,,N,,N,N,,,,,0,,,,,One Back,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
OneBackRawRTVariability,Cogstate Battery CRF - CBB,,Number Box (Decimal),Raw RT Variability,,,,,,N,,N,N,,,,,0,,,,,One Back,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
